Year,Category,Nominee,Additional Info,Won?
2016,Documentary (Feature),O.J.: Made in America,,YES
2015,Documentary (Feature),Amy,,YES
2014,Documentary (Feature),Citizenfour,,YES
2013,Documentary (Feature),20 Feet from Stardom,,YES
2012,Documentary (Feature),Searching for Sugar Man,,YES
2011,Documentary (Feature),Undefeated,,YES
2010 (83rd),Documentary (Feature),Inside Job,Charles Ferguson and Audrey Marrs,YES
2009 (82nd),Documentary (Feature),The Cove,Louie Psihoyos and Fisher Stevens,YES
2008 (81st),Documentary (Feature),Man on Wire,James Marsh and Simon Chinn,YES
2007 (80th),Documentary (Feature),Taxi to the Dark Side,Alex Gibney and Eva Orner,YES
2006 (79th),Documentary (Feature),An Inconvenient Truth,Davis Guggenheim,YES
2005 (78th),Documentary (Feature),March of the Penguins,Luc Jacquet and Yves Darondeau,YES
2004 (77th),Documentary (Feature),Born into Brothels,Ross Kauffman and Zana Briski,YES
2003 (76th),Documentary (Feature),The Fog of War,Errol Morris and Michael Williams,YES
2002 (75th),Documentary (Feature),Bowling for Columbine,"Michael Moore, Michael Donovan",YES
2001 (74th),Documentary (Feature),Murder on a Sunday Morning,"Jean-Xavier de Lestrade, Denis Poncet",YES
2000 (73rd),Documentary (Feature),Into the Arms of Strangers: Stories of the Kindertransport,"Mark Jonathan Harris, Deborah Oppenheimer",YES
1999 (72nd),Documentary (Feature),One Day in September,"Arthur Cohn, Kevin Macdonald",YES
1998 (71st),Documentary (Feature),The Last Days,"James Moll, Ken Lipper",YES
1997 (70th),Documentary (Feature),The Long Way Home,"Rabbi Marvin Hier, Richard Trank",YES
1996 (69th),Documentary (Feature),When We Were Kings,"Leon Gast, David Sonenberg",YES
1995 (68th),Documentary (Feature),Anne Frank Remembered,Jon Blair,YES
1994 (67th),Documentary (Feature),Maya Lin: A Strong Clear Vision,"Freida Lee Mock, Terry Sanders",YES
1993 (66th),Documentary (Feature),I Am a Promise: The Children of Stanton Elementary School,"Susan Raymond, Alan Raymond",YES
1992 (65th),Documentary (Feature),The Panama Deception,"Barbara Trent and David Kasper, Producers",YES
1991 (64th),Documentary (Feature),In the Shadow of the Stars,"Allie Light and Irving Saraf, Producers",YES
1990 (63rd),Documentary (Feature),American Dream,"Barbara Kopple and Arthur Cohn, Producers",YES
1989 (62nd),Documentary (Feature),Common Threads: Stories from the Quilt,"Robert Epstein and Bill Couturi_, Producers",YES
1988 (61st),Documentary (Feature),Hotel Terminus: The Life and Times of Klaus Barbie,"Marcel Ophuls, Producer",YES
1987 (60th),Documentary (Feature),The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,"Aviva Slesin, Producer",YES
1986 (59th),Documentary (Feature),Artie Shaw: Time Is All You've Got,"Brigitte Berman, Producer",YES
1986 (59th),Documentary (Feature),Down and Out in America,"Joseph Feury and Milton Justice, Producers",YES
1985 (58th),Documentary (Feature),Broken Rainbow,"Maria Florio and Victoria Mudd, Producers",YES
1984 (57th),Documentary (Feature),The Times of Harvey Milk,"Robert Epstein and Richard Schmiechen, Producers",YES
1983 (56th),Documentary (Feature),He Makes Me Feel Like Dancin',"Emile Ardolino, Producer",YES
1982 (55th),Documentary (Feature),Just Another Missing Kid,"John Zaritsky, Producer",YES
1981 (54th),Documentary (Feature),Genocide,"Arnold Schwartzman and Rabbi Marvin Hier, Producers",YES
1980 (53rd),Documentary (Feature),From Mao to Mozart: Isaac Stern in China,"Murray Lerner, Producer",YES
1979 (52nd),Documentary (Feature),Best Boy,"Ira Wohl, Producer",YES
1978 (51st),Documentary (Feature),Scared Straight!,"Arnold Shapiro, Producer",YES
1977 (50th),Documentary (Feature),Who Are the DeBolts? And Where Did They Get Nineteen Kids?,"John Korty, Dan McCann and Warren L. Lockhart, Producers",YES
1976 (49th),Documentary (Feature),"Harlan County, U.S.A.","Barbara Kopple, Producer",YES
1975 (48th),Documentary (Feature),The Man Who Skied down Everest,"F. R. Crawley, James Hager and Dale Hartleben, Producers",YES
1974 (47th),Documentary (Feature),Hearts and Minds,"Peter Davis and Bert Schneider, Producers",YES
1973 (46th),Documentary (Feature),The Great American Cowboy,"Kieth Merrill, Producer",YES
1972 (45th),Documentary (Feature),Marjoe,"Howard Smith and Sarah Kernochan, Producers",YES
1971 (44th),Documentary (Feature),The Hellstrom Chronicle,"Walon Green, Producer",YES
