Year,Category,Nominee,Additional Info,Won?
2016,Best Picture,Moonlight,,YES
2015,Best Picture,Spotlight,,YES
2014,Best Picture,Birdman or (The Unexpected Virtue of Ignorance),,YES
2013,Best Picture,12 Years a Slave,,YES
2012,Best Picture,Argo,,YES
2011,Best Picture,The Artist,,YES
2010 (83rd),Best Picture,The King's Speech,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",YES
2009 (82nd),Best Picture,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",YES
2008 (81st),Best Picture,Slumdog Millionaire,"Christian Colson, Producer",YES
2007 (80th),Best Picture,No Country for Old Men,"Scott Rudin, Ethan Coen and Joel Coen, Producers",YES
2006 (79th),Best Picture,The Departed,"Graham King, Producer",YES
2005 (78th),Best Picture,Crash,"Paul Haggis and Cathy Schulman, Producers",YES
2004 (77th),Best Picture,Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",YES
2003 (76th),Best Picture,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers",YES
2002 (75th),Best Picture,Chicago,"Martin Richards, Producer",YES
2001 (74th),Best Picture,A Beautiful Mind,"Brian Grazer and Ron Howard, Producers",YES
2000 (73rd),Best Picture,Gladiator,"Douglas Wick, David Franzoni and Branko Lustig, Producers",YES
1999 (72nd),Best Picture,American Beauty,"Bruce Cohen and Dan Jinks, Producers",YES
1998 (71st),Best Picture,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",YES
1997 (70th),Best Picture,Titanic,"James Cameron and Jon Landau, Producers",YES
1996 (69th),Best Picture,The English Patient,"Saul Zaentz, Producer",YES
1995 (68th),Best Picture,Braveheart,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",YES
1994 (67th),Best Picture,Forrest Gump,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",YES
1993 (66th),Best Picture,Schindler's List,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",YES
1992 (65th),Best Picture,Unforgiven,"Clint Eastwood, Producer",YES
1991 (64th),Best Picture,The Silence of the Lambs,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",YES
1990 (63rd),Best Picture,Dances With Wolves,"Jim Wilson and Kevin Costner, Producers",YES
1989 (62nd),Best Picture,Driving Miss Daisy,"Richard D. Zanuck and Lili Fini Zanuck, Producers",YES
1988 (61st),Best Picture,Rain Man,"Mark Johnson, Producer",YES
1987 (60th),Best Picture,The Last Emperor,"Jeremy Thomas, Producer",YES
1986 (59th),Best Picture,Platoon,"Arnold Kopelson, Producer",YES
1985 (58th),Best Picture,Out of Africa,"Sydney Pollack, Producer",YES
1984 (57th),Best Picture,Amadeus,"Saul Zaentz, Producer",YES
1983 (56th),Best Picture,Terms of Endearment,"James L. Brooks, Producer",YES
1982 (55th),Best Picture,Gandhi,"Richard Attenborough, Producer",YES
1981 (54th),Best Picture,Chariots of Fire,"David Puttnam, Producer",YES
1980 (53rd),Best Picture,Ordinary People,"Ronald L. Schwary, Producer",YES
1979 (52nd),Best Picture,Kramer vs. Kramer,"Stanley R. Jaffe, Producer",YES
1978 (51st),Best Picture,The Deer Hunter,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",YES
1977 (50th),Best Picture,Annie Hall,"Charles H. Joffe, Producer",YES
1976 (49th),Best Picture,Rocky,"Irwin Winkler and Robert Chartoff, Producers",YES
1975 (48th),Best Picture,One Flew over the Cuckoo's Nest,"Saul Zaentz and Michael Douglas, Producers",YES
1974 (47th),Best Picture,The Godfather Part II,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers",YES
1973 (46th),Best Picture,The Sting,"Tony Bill, Michael Phillips and Julia Phillips, Producers",YES
1972 (45th),Best Picture,The Godfather,"Albert S. Ruddy, Producer",YES
1971 (44th),Best Picture,The French Connection,"Philip D'Antoni, Producer",YES
1970 (43rd),Best Picture,Patton,"Frank McCarthy, Producer",YES
1969 (42nd),Best Picture,Midnight Cowboy,"Jerome Hellman, Producer",YES
1968 (41st),Best Picture,Oliver!,"John Woolf, Producer",YES
1967 (40th),Best Picture,In the Heat of the Night,"Walter Mirisch, Producer",YES
1966 (39th),Best Picture,A Man for All Seasons,"Fred Zinnemann, Producer",YES
1965 (38th),Best Picture,The Sound of Music,"Robert Wise, Producer",YES
1964 (37th),Best Picture,My Fair Lady,"Jack L. Warner, Producer",YES
1963 (36th),Best Picture,Tom Jones,"Tony Richardson, Producer",YES
1962 (35th),Best Picture,Lawrence of Arabia,"Sam Spiegel, Producer",YES
1961 (34th),Best Picture,West Side Story,"Robert Wise, Producer",YES
1960 (33rd),Best Picture,The Apartment,"Billy Wilder, Producer",YES
1959 (32nd),Best Picture,Ben-Hur,"Sam Zimbalist, Producer",YES
1958 (31st),Best Picture,Gigi,"Arthur Freed, Producer",YES
1957 (30th),Best Picture,The Bridge on the River Kwai,"Sam Spiegel, Producer",YES
1956 (29th),Best Picture,Around the World in 80 Days,"Michael Todd, Producer",YES
1955 (28th),Best Picture,Marty,"Harold Hecht, Producer",YES
1954 (27th),Best Picture,On the Waterfront,"Sam Spiegel, Producer",YES
1953 (26th),Best Picture,From Here to Eternity,"Buddy Adler, Producer",YES
1952 (25th),Best Picture,The Greatest Show on Earth,"Cecil B. DeMille, Producer",YES
1951 (24th),Best Picture,An American in Paris,"Arthur Freed, Producer",YES
1950 (23rd),Best Picture,All about Eve,20th Century-Fox,YES
1949 (22nd),Best Picture,All the King's Men,Robert Rossen Productions,YES
1948 (21st),Best Picture,Hamlet,J. Arthur Rank-Two Cities Films,YES
1947 (20th),Best Picture,Gentleman's Agreement,20th Century-Fox,YES
1946 (19th),Best Picture,The Best Years of Our Lives,Samuel Goldwyn Productions,YES
1945 (18th),Best Picture,The Lost Weekend,Paramount,YES
1944 (17th),Best Picture,Going My Way,Paramount,YES
1943 (16th),Best Picture,Casablanca,Warner Bros.,YES
1942 (15th),Best Picture,Mrs. Miniver,Metro-Goldwyn-Mayer,YES
1941 (14th),Best Picture,How Green Was My Valley,20th Century-Fox,YES
1940 (13th),Best Picture,Rebecca,Selznick International Pictures,YES
1939 (12th),Best Picture,Gone with the Wind,Selznick International Pictures,YES
1938 (11th),Best Picture,You Can't Take It with You,Columbia,YES
1937 (10th),Best Picture,The Life of Emile Zola,Warner Bros.,YES
1936 (9th),Best Picture,The Great Ziegfeld,Metro-Goldwyn-Mayer,YES
1935 (8th),Best Picture,Mutiny on the Bounty,Metro-Goldwyn-Mayer,YES
1934 (7th),Best Picture,It Happened One Night,Columbia,YES
1933 (6th),Best Picture,Cavalcade,Fox,YES
1932 (5th),Best Picture,Grand Hotel,Metro-Goldwyn-Mayer,YES
1931 (4th),Best Picture,Cimarron,RKO Radio,YES
1930 (3rd),Best Picture,All Quiet on the Western Front,Universal,YES
1929 (2nd),Best Picture,Metro-Goldwyn-Mayer,The Broadway Melody,YES
1928 (1st),Best Picture,Paramount Famous Lasky,Wings,YES
